complaint_id,text,category,priority,sentiment,resolution_time
1,Need bulk order details,Trade,Medium,-0.6751701584752385,60
2,Box was broken,Packaging,High,0.2741071383449558,21
3,Product stopped working,Product,Low,-0.6148656308840621,70
4,Poor packaging quality,Packaging,Medium,-0.20816088603495952,20
5,Need bulk order details,Trade,Low,0.3610096179289606,52
6,Inquiry about pricing,Trade,High,0.6956728319931325,17
7,Damaged packaging,Packaging,Low,-0.49789091948057673,44
8,Trade-related query,Trade,Low,0.017067097003399923,67
9,Product malfunctioning,Product,Low,-0.31475589290049677,71
10,Poor packaging quality,Packaging,Low,-0.15069388063050582,36
11,Damaged packaging,Packaging,High,0.21816029599804665,25
12,Defective item received,Product,Medium,-0.6247638315192594,47
13,Trade-related query,Trade,Low,-0.6035484147310686,47
14,Inquiry about pricing,Trade,High,-0.45782731302941504,22
15,Inquiry about pricing,Trade,Medium,-0.918968392050072,64
16,Inquiry about pricing,Trade,High,0.0235010281800474,59
17,Damaged packaging,Packaging,Low,0.8441274864601493,49
18,Product malfunctioning,Product,High,0.937021779397609,15
19,Product malfunctioning,Product,High,-0.5767633593692278,49
20,Product malfunctioning,Product,High,-0.3363379001462399,30
21,Product stopped working,Product,Low,0.4103024151152559,14
22,Box was broken,Packaging,Medium,0.3581902091329814,13
23,Inquiry about pricing,Trade,Medium,0.33018225122127043,10
24,Box was broken,Packaging,High,-0.7085340414366206,51
25,Inquiry about pricing,Trade,Low,-0.2781773282540123,60
26,Poor packaging quality,Packaging,Low,-0.9940726652930176,8
27,Damaged packaging,Packaging,Medium,-0.18795534509254797,13
28,Product stopped working,Product,Medium,0.1059428905505162,51
29,Need bulk order details,Trade,Low,0.6978505331386213,9
30,Poor packaging quality,Packaging,Medium,0.02226647755797173,51
31,Poor packaging quality,Packaging,High,0.2885220855314832,44
32,Poor packaging quality,Packaging,Medium,0.6368038912998082,48
33,Product stopped working,Product,Low,0.3429042223807901,27
34,Poor packaging quality,Packaging,Medium,0.23797717891137737,70
35,Damaged packaging,Packaging,Low,-0.422072572073638,66
36,Product malfunctioning,Product,Low,-0.11902082000966252,7
37,Box was broken,Packaging,Low,-0.1514051818620612,50
